Feature Category,Feature Type,Northing,Easting,Elevation,Condition,Activated,Corridor ID
Roadway,EP,200540.4631,1033171.754,48.3258,0,1,0
Roadway,EP,200539.769,1033164.937,48.1634,0,1,0
Roadway,EP,200539.2426,1033159.766,48.0403,0,1,0
Roadway,EP,200539.0766,1033158.136,47.9976,0,1,0
Roadway,EP,200538.8772,1033156.177,47.9514,0,1,0
Roadway,EP,200538.7936,1033155.356,47.931,0,1,0
Roadway,EP,200537.5498,1033143.139,47.6266,0,1,0
Roadway,EP,200536.521,1033133.242,47.3791,0,1,0
Roadway,EP,200536.0221,1033128.442,47.2763,0,1,0
Roadway,EP,200534.953,1033118.499,47.0619,0,1,0
Roadway,EP,200534.7353,1033116.528,47.0192,0,1,0
Roadway,EP,200533.8555,1033108.56,46.8535,0,1,0
Roadway,EP,200533.8428,1033108.447,46.8511,0,1,0
Roadway,EP,200532.7297,1033098.623,46.653,0,1,0
Roadway,EP,200532.3168,1033095.07,46.5809,0,1,0
Roadway,EP,200531.5755,1033088.69,46.465,0,1,0
Roadway,EP,200530.9449,1033083.396,46.3681,0,1,0
Roadway,EP,200530.3929,1033078.76,46.2929,0,1,0
Roadway,EP,200529.8079,1033073.965,46.2145,0,1,0
Roadway,EP,200529.1819,1033068.834,46.1446,0,1,0
Roadway,EP,200527.9427,1033058.911,46.0082,0,1,0
Roadway,EP,200527.8758,1033058.388,46.0009,0,1,0
Roadway,EP,200526.675,1033048.992,45.8748,0,1,0
Roadway,EP,200525.3791,1033039.076,45.7404,0,1,0
Roadway,EP,200524.8277,1033034.949,45.6839,0,1,0
Roadway,EP,200524.6243,1033033.427,45.6669,0,1,0
Roadway,EP,200524.0587,1033029.193,45.6257,0,1,0
Roadway,EP,200524.0548,1033029.164,45.6254,0,1,0
Roadway,EP,200523.823,1033027.466,45.6084,0,1,0
Roadway,EP,200523.7157,1033026.68,45.5992,0,1,0
Roadway,EP,200522.7023,1033019.256,45.521,0,1,0
Roadway,EP,200521.3214,1033009.352,45.4157,0,1,0
Roadway,EP,200521.0551,1033007.481,45.3956,0,1,0
Roadway,EP,200519.9122,1032999.452,45.3434,0,1,0
Roadway,EP,200519.0598,1032993.582,45.3048,0,1,0
Roadway,EP,200518.4748,1032989.555,45.2861,0,1,0
Roadway,EP,200517.4003,1032982.303,45.2517,0,1,0
Roadway,EP,200517.0092,1032979.663,45.2402,0,1,0
Roadway,EP,200515.865,1032972.091,45.2064,0,1,0
Roadway,EP,200515.5152,1032969.776,45.1884,0,1,0
Roadway,EP,200513.9931,1032959.892,45.1104,0,1,0
Roadway,EP,200513.5683,1032957.186,45.0888,0,1,0
Roadway,EP,200512.4427,1032950.013,45.034,0,1,0
Roadway,EP,200510.5793,1032938.249,44.9436,0,1,0
Roadway,EP,200510.5325,1032937.954,44.9353,0,1,0
Roadway,EP,200510.4832,1032937.642,44.9268,0,1,0
Roadway,EP,200510.4318,1032937.318,44.9181,0,1,0
Roadway,EP,200510.3773,1032936.974,44.91,0,1,0
Roadway,EP,200510.3188,1032936.605,44.9016,0,1,0
Roadway,EP,200510.2568,1032936.213,44.8928,0,1,0
Roadway,EP,200510.191,1032935.798,44.8838,0,1,0
Roadway,EP,200510.1219,1032935.361,44.8754,0,1,0
Roadway,EP,200510.0499,1032934.907,44.8669,0,1,0
Roadway,EP,200509.4735,1032931.268,44.8263,0,1,0
Roadway,EP,200509.4647,1032931.213,44.8234,0,1,0
Roadway,EP,200509.4536,1032931.143,44.8196,0,1,0
Roadway,EP,200509.4403,1032931.058,44.8168,0,1,0
Roadway,EP,200509.4247,1032930.96,44.8151,0,1,0
Roadway,EP,200509.407,1032930.848,44.8125,0,1,0
Roadway,EP,200509.3871,1032930.723,44.8112,0,1,0
Roadway,EP,200509.3655,1032930.586,44.8112,0,1,0
Roadway,EP,200509.3422,1032930.439,44.8105,0,1,0
Roadway,EP,200509.3176,1032930.284,44.8111,0,1,0
Roadway,EP,200509.2918,1032930.121,44.8121,0,1,0
Roadway,EP,200507.3118,1032917.621,44.4703,0,1,0
Roadway,EP,200507.31,1032917.609,44.47,0,1,0
Roadway,EP,200507.3099,1032917.609,44.47,0,1,0
Roadway,EP,200507.3094,1032917.606,44.4699,0,1,0
Roadway,EP,200505.9242,1032908.861,44.1681,0,1,0
Roadway,EP,200503.353,1032892.629,43.608,0,1,0
Roadway,EP,200503.3531,1032892.629,43.608,0,1,0
Roadway,EP,200499.087,1032868.218,42.665,0,1,0
Roadway,EP,200499.0871,1032868.218,42.665,0,1,0
Roadway,EP,200497.4119,1032860.251,42.3236,0,1,0
Roadway,EP,200493.945,1032843.762,41.617,0,1,0
Roadway,EP,200493.9448,1032843.762,41.6171,0,1,0
Roadway,EP,200493.9432,1032843.755,41.6167,0,1,0
Roadway,EP,200489.8168,1032826.125,40.7681,0,1,0
Roadway,EP,200489.817,1032826.125,40.768,0,1,0
Roadway,EP,200489.8134,1032826.113,40.7676,0,1,0
Roadway,EP,200486.9004,1032815.48,40.3248,0,1,0
Roadway,EP,200483.2174,1032802.036,39.765,0,1,0
Roadway,EP,200483.217,1032802.036,39.765,0,1,0
Roadway,EP,200476.0731,1032778.501,38.767,0,1,0
Roadway,EP,200476.073,1032778.501,38.767,0,1,0
Roadway,EP,200474.9576,1032775.155,38.6278,0,1,0
Roadway,EP,200468.2438,1032755.016,37.7901,0,1,0
Roadway,EP,200468.243,1032755.013,37.79,0,1,0
Roadway,EP,200468.2425,1032755.012,37.79,0,1,0
Roadway,EP,200466.3799,1032749.394,37.5637,0,1,0
Roadway,EP,200460.3827,1032731.305,36.835,0,1,0
Roadway,EP,200460.3824,1032731.304,36.835,0,1,0
Roadway,EP,200460.382,1032731.304,36.835,0,1,0
Roadway,EP,200454.7727,1032713.104,36.1422,0,1,0
Roadway,EP,200452.9669,1032707.245,35.9192,0,1,0
Roadway,EP,200452.9658,1032707.242,35.919,0,1,0
Roadway,EP,200452.9651,1032707.24,35.919,0,1,0
Roadway,EP,200445.0775,1032683.131,34.9927,0,1,0
Roadway,EP,200445.0743,1032683.121,34.9924,0,1,0
Roadway,EP,200445.0736,1032683.119,34.9923,0,1,0
Roadway,EP,200445.0712,1032683.111,34.9919,0,1,0
Roadway,EP,200438.4165,1032659.611,34.0707,0,1,0
Roadway,EP,200438.267,1032659.083,34.05,0,1,0
Roadway,EP,200438.267,1032659.083,34.05,0,1,0
Roadway,EP,200438.267,1032659.083,34.05,0,1,0
Roadway,EP,200431.7442,1032634.54,33.041,0,1,0
Roadway,EP,200431.744,1032634.54,33.041,0,1,0
Roadway,EP,200431.7433,1032634.537,33.0409,0,1,0
Roadway,EP,200426.025,1032610.224,31.942,0,1,0
Roadway,EP,200426.0251,1032610.224,31.942,0,1,0
Roadway,EP,200426.0244,1032610.221,31.9419,0,1,0
Roadway,EP,200420.1604,1032585.476,30.909,0,1,0
Roadway,EP,200420.16,1032585.476,30.909,0,1,0
Roadway,EP,200420.1585,1032585.467,30.9086,0,1,0
Roadway,EP,200417.0402,1032569.875,30.2527,0,1,0
Roadway,EP,200415.2054,1032560.701,29.867,0,1,0
Roadway,EP,200415.2018,1032560.683,29.8663,0,1,0
Roadway,EP,200415.2004,1032560.675,29.8658,0,1,0
Roadway,EP,200410.7945,1032536.105,28.8766,0,1,0
Roadway,EP,200410.7926,1032536.095,28.8763,0,1,0
Roadway,EP,200410.7905,1032536.081,28.8756,0,1,0
Roadway,EP,200408.77,1032523.14,28.3629,0,1,0
Roadway,EP,200406.8554,1032510.878,27.8773,0,1,0
Roadway,EP,200406.8543,1032510.871,27.877,0,1,0
Roadway,EP,200406.854,1032510.871,27.877,0,1,0
Roadway,EP,200403.57,1032486.117,26.9534,0,1,0
Roadway,EP,200403.568,1032486.106,26.953,0,1,0
Roadway,EP,200403.5685,1032486.106,26.953,0,1,0
Roadway,EP,200400.7483,1032460.872,25.9031,0,1,0
Roadway,EP,200400.7481,1032460.871,25.903,0,1,0
Roadway,EP,200400.748,1032460.87,25.903,0,1,0
Roadway,EP,200400.2847,1032455.569,25.6998,0,1,0
Roadway,EP,200398.5292,1032435.488,24.9303,0,1,0
Roadway,EP,200398.5287,1032435.482,24.9301,0,1,0
Roadway,EP,200398.5281,1032435.474,24.9298,0,1,0
Roadway,EP,200397.2092,1032417.592,24.2622,0,1,0
Roadway,EP,200396.691,1032410.569,24,0,1,0
Roadway,EP,200396.6911,1032410.569,24,0,1,0
Roadway,EP,200395.2986,1032385.248,22.9522,0,1,0
Roadway,EP,200395.298,1032385.242,22.952,0,1,0
Roadway,EP,200395.2982,1032385.242,22.952,0,1,0
Roadway,EP,200395.2981,1032385.237,22.9518,0,1,0
Roadway,EP,200394.391,1032359.814,22.09,0,1,0
Roadway,EP,200394.3912,1032359.814,22.09,0,1,0
Roadway,EP,200394.3966,1032344.216,21.545,0,1,0
Roadway,EP,200394.3999,1032334.831,21.2172,0,1,0
Roadway,EP,200394.3999,1032334.829,21.2172,0,1,0
Roadway,EP,200394.3999,1032334.825,21.2172,0,1,0
Roadway,EP,200394.615,1032309.296,20.33,0,1,0
Roadway,EP,200394.6148,1032309.296,20.3306,0,1,0
Roadway,EP,200395.8483,1032284.349,19.5571,0,1,0
Roadway,EP,200395.8488,1032284.339,19.5564,0,1,0
Roadway,EP,200395.8488,1032284.337,19.5563,0,1,0
Roadway,EP,200395.849,1032284.331,19.5561,0,1,0
Roadway,EP,200396.1544,1032271.818,19.2368,0,1,0
Roadway,EP,200396.4671,1032259.009,18.9102,0,1,0
Roadway,EP,200396.467,1032259.003,18.91,0,1,0
